id,name,address,open_hour,close_hour,phone_number,unavailable_days,appointments,gps
<<<<<<< app_data/branches.csv
1,Monash Clinic,"99 Esplanade West, Port Melbourne, VIC 3207",9:00am,5:00pm,474929128,None,"{""appointments"": [{""new_patient"": true, ""appointment_reason"": {""reason"": ""Standard Consultation Face to Face"", ""duration"": 15}, ""date_time"": ""2021-11-10T12:30:00"", ""gp"": {""first_name"": ""Alice"", ""last_name"": ""Brown"", ""phone_number"": ""0412345678"", ""area_of_interests"": [""Adults""], ""unavailable_days"": []}, ""patient"": {""email_address"": ""patient@monash.edu"", ""password"": ""Monash1234"", ""first_name"": ""Alan"", ""last_name"": ""Turing"", ""phone_number"": ""0412345678"", ""date_of_birth"": ""2000-11-10T00:00:00"", ""gender"": ""male"", ""list_of_favourites"": {""list_of_favourites"":[]}}, ""questionnaire"": {""dictionary_of_questions"": {""question 1"": ""answer 1"", ""question 2"": ""answer 2""}, ""message"": ""questionnaire message""}},{""new_patient"": true, ""appointment_reason"": {""reason"": ""Standard Consultation Face to Face"", ""duration"": 15}, ""date_time"": ""2021-10-10T12:30:00"", ""gp"": {""first_name"": ""Alice"", ""last_name"": ""Brown"", ""phone_number"": ""0412345678"", ""area_of_interests"": [""Adults""], ""unavailable_days"": []}, ""patient"": {""email_address"": ""patient@monash.edu"", ""password"": ""Monash1234"", ""first_name"": ""Alan"", ""last_name"": ""Turing"", ""phone_number"": ""0412345678"", ""date_of_birth"": ""2000-11-10T00:00:00"", ""gender"": ""male"", ""list_of_favourites"": {""list_of_favourites"":[]}}, ""questionnaire"": {""dictionary_of_questions"": {""question 1"": ""answer 1"", ""question 2"": ""answer 2""}, ""message"": ""questionnaire message""}},{""new_patient"": true, ""appointment_reason"": {""reason"": ""Standard Consultation Face to Face"", ""duration"": 15}, ""date_time"": ""2021-09-10T12:30:00"", ""gp"": {""first_name"": ""Alice"", ""last_name"": ""Brown"", ""phone_number"": ""0412345678"", ""area_of_interests"": [""Adults""], ""unavailable_days"": []},""patient"": {""email_address"": ""patient@monash.edu"", ""password"": ""Monash1234"", ""first_name"": ""Alan"", ""last_name"": ""Turing"", ""phone_number"": ""0412345678"", ""date_of_birth"": ""2000-11-10T00:00:00"", ""gender"": ""male"", ""list_of_favourites"": {""list_of_favourites"":[]}}, ""questionnaire"": {""dictionary_of_questions"": {""question 1"": ""answer 1"", ""question 2"": ""answer 2""}, ""message"": ""questionnaire message""}}]} ","{""gps"":[{""first_name"": ""Alice"", ""last_name"": ""Brown"", ""phone_number"": ""0412345678"", ""area_of_interests"": [""Adults""], ""unavailable_days"": []}, {""first_name"": ""John"", ""last_name"": ""Smith"", ""phone_number"": ""0453792604"", ""area_of_interests"": [""Adults"", ""Children""], ""unavailable_days"": []}, {""first_name"": ""Joanna"", ""last_name"": ""Black"", ""phone_number"": ""0455226834"", ""area_of_interests"": [""Adolescents""], ""unavailable_days"": []}]}"
2,Monash Care,"22 Mountain St, South Melbourne, VIC 3205",9:00am,5:00pm,407312934,None,"{""appointments"": [{""new_patient"": false, ""appointment_reason"": {""reason"": ""Telehealth (Video / Phone consult)"", ""duration"": 15}, ""date_time"": ""2021-10-10T12:30:00"", ""gp"":{""first_name"": ""Mara"", ""last_name"": ""Aldridge"", ""phone_number"": ""0425151407"", ""area_of_interests"": [""Adolescents"", ""Children""], ""unavailable_days"": []}, ""patient"": {""email_address"": ""patient@monash.edu"", ""password"": ""Monash1234"",""first_name"": ""Alan"", ""last_name"": ""Turing"", ""phone_number"": ""0412345678"", ""date_of_birth"": ""2000-11-10T00:00:00"", ""gender"": ""male"", ""list_of_favourites"": {""list_of_favourites"":[]}}, ""questionnaire"": {""dictionary_of_questions"": {""question 1"": ""answer 1"", ""question 2"": ""answer 2""}, ""message"": ""questionnaire message""}}, {""new_patient"": false, ""appointment_reason"": {""reason"": ""Telehealth (Video / Phone consult)"", ""duration"": 15}, ""date_time"": ""2021-10-10T13:30:00"", ""gp"":{""first_name"": ""Mara"", ""last_name"": ""Aldridge"", ""phone_number"": ""0425151407"", ""area_of_interests"": [""Adolescents"", ""Children""], ""unavailable_days"": []}, ""patient"": {""email_address"": ""patient@monash.edu"", ""password"": ""Monash1234"",""first_name"": ""Alan"", ""last_name"": ""Turing"", ""phone_number"": ""0412345678"", ""date_of_birth"": ""2000-11-10T00:00:00"", ""gender"": ""male"", ""list_of_favourites"": {""list_of_favourites"":[]}}, ""questionnaire"": {""dictionary_of_questions"": {""question 1"": ""answer 1"", ""question 2"": ""answer 2""}, ""message"": ""questionnaire message""}}, {""new_patient"": false, ""appointment_reason"": {""reason"": ""Telehealth (Video / Phone consult)"", ""duration"": 15}, ""date_time"": ""2021-11-10T09:30:00"", ""gp"":{""first_name"": ""Theodora"", ""last_name"": ""Riden"", ""phone_number"": ""0477528947"", ""area_of_interests"": [""Adults""], ""unavailable_days"": []}, ""patient"": {""email_address"": ""patient@monash.edu"", ""password"": ""Monash1234"",""first_name"": ""Alan"", ""last_name"": ""Turing"", ""phone_number"": ""0412345678"", ""date_of_birth"": ""2000-11-10T00:00:00"", ""gender"": ""male"", ""list_of_favourites"": {""list_of_favourites"":[]}}, ""questionnaire"": {""dictionary_of_questions"": {""question 1"": ""answer 1"", ""question 2"": ""answer 2""}, ""message"": ""questionnaire message""}}]}","{""gps"": [{""first_name"": ""Theodora"", ""last_name"": ""Riden"", ""phone_number"": ""0477528947"", ""area_of_interests"": [""Adults""], ""unavailable_days"": []}, {""first_name"": ""Donavon"", ""last_name"": ""Boniface"", ""phone_number"": ""0487251531"", ""area_of_interests"": [""Children""], ""unavailable_days"": []}, {""first_name"": ""Mason"", ""last_name"": ""Tenwick"", ""phone_number"": ""0469677040"", ""area_of_interests"": [""Adolescents"", ""Children""], ""unavailable_days"": []}, {""first_name"": ""Mara"", ""last_name"": ""Aldridge"", ""phone_number"": ""0425151407"", ""area_of_interests"": [""Adolescents"", ""Children""], ""unavailable_days"": []}]}"
3,Monash Health,"35 Victoria St, Melbourne, VIC 3000",9:00am,5:00pm,458921931,None,"{""appointments"": [{""new_patient"": true, ""appointment_reason"": {""reason"": ""Long consultation face to face "", ""duration"": 30}, ""date_time"": ""2021-11-09T12:30:00"", ""gp"": {""first_name"": ""Borg"", ""last_name"": ""Murley"", ""phone_number"": ""0467739687"", ""area_of_interests"": [""Adults""], ""unavailable_days"": []}, ""patient"": {""email_address"": ""patient@monash.edu"", ""password"": ""Monash1234"",""first_name"": ""Alan"", ""last_name"": ""Turing"", ""phone_number"": ""0412345678"", ""date_of_birth"": ""2000-11-10T00:00:00"", ""gender"": ""male"", ""list_of_favourites"": {""list_of_favourites"":[]}}, ""questionnaire"": {""dictionary_of_questions"": {""question 1"": ""answer 1"", ""question 2"": ""answer 2""}, ""message"": ""questionnaire message""}}]}","{""gps"": [{""first_name"": ""Borg"", ""last_name"": ""Murley"", ""phone_number"": ""0467739687"", ""area_of_interests"": [""Adults""], ""unavailable_days"": []}, {""first_name"": ""Alicea"", ""last_name"": ""Wallbanks"", ""phone_number"": ""0456294673"", ""area_of_interests"": [""Children""], ""unavailable_days"": []}, {""first_name"": ""Urbain"", ""last_name"": ""Pauli"", ""phone_number"": ""0482861205"", ""area_of_interests"": [""Adolescents"", ""Children""], ""unavailable_days"": []}, {""first_name"": ""Gib"", ""last_name"": ""Struys"", ""phone_number"": ""0433712627"", ""area_of_interests"": [""Adolescents"", ""Children""], ""unavailable_days"": []}]}"
4,Monash Love,"518 Victoria Pde, East Melbourne, VIC 3002",9:00am,5:00pm,43928212,None,"{""appointments"": []}","{""gps"": [{""first_name"": ""Tom"", ""last_name"": ""Sawyer"", ""phone_number"": ""0433742627"", ""area_of_interests"": [""Adolescents""], ""unavailable_days"": []}]}"
=======
1,Monash Clinic,"99 Esplanade West, Port Melbourne, VIC 3207",9:00am,5:00pm,"0474929128",None,"{""appointments"": [{""new_patient"": true, ""appointment_reason"": {""reason"": ""Standard Consultation Face to Face"", ""duration"": 15}, ""date_time"": ""2021-11-10T12:30:00"", ""gp"": {""first_name"": ""Alice"", ""last_name"": ""Brown"", ""phone_number"": ""0412345678"", ""area_of_interests"": [""Adults""], ""unavailable_days"": []}, ""patient"": {""email_address"": ""patient@monash.edu"", ""password"": ""Monash1234"", ""first_name"": ""Alan"", ""last_name"": ""Turing"", ""phone_number"": ""0412345678"", ""date_of_birth"": ""2000-11-10T00:00:00"", ""gender"": ""male"", ""list_of_favourites"": {""list_of_favourites"":[]}}, ""questionnaire"": {""dictionary_of_questions"": {""question 1"": ""answer 1"", ""question 2"": ""answer 2""}, ""message"": ""questionnaire message""}},{""new_patient"": true, ""appointment_reason"": {""reason"": ""Standard Consultation Face to Face"", ""duration"": 15}, ""date_time"": ""2021-10-10T12:30:00"", ""gp"": {""first_name"": ""Alice"", ""last_name"": ""Brown"", ""phone_number"": ""0412345678"", ""area_of_interests"": [""Adults""], ""unavailable_days"": []}, ""patient"": {""email_address"": ""patient@monash.edu"", ""password"": ""Monash1234"", ""first_name"": ""Alan"", ""last_name"": ""Turing"", ""phone_number"": ""0412345678"", ""date_of_birth"": ""2000-11-10T00:00:00"", ""gender"": ""male"", ""list_of_favourites"": {""list_of_favourites"":[]}}, ""questionnaire"": {""dictionary_of_questions"": {""question 1"": ""answer 1"", ""question 2"": ""answer 2""}, ""message"": ""questionnaire message""}},{""new_patient"": true, ""appointment_reason"": {""reason"": ""Standard Consultation Face to Face"", ""duration"": 15}, ""date_time"": ""2021-09-10T12:30:00"", ""gp"":  {""first_name"": ""Urbain"", ""last_name"": ""Pauli"", ""phone_number"": ""0482861205"", ""area_of_interests"": [""Adolescents"", ""Children""], ""unavailable_days"": []},""patient"": {""email_address"": ""patient@monash.edu"", ""password"": ""Monash1234"", ""first_name"": ""Alan"", ""last_name"": ""Turing"", ""phone_number"": ""0412345678"", ""date_of_birth"": ""2000-11-10T00:00:00"", ""gender"": ""male"", ""list_of_favourites"": {""list_of_favourites"":[]}}, ""questionnaire"": {""dictionary_of_questions"": {""question 1"": ""answer 1"", ""question 2"": ""answer 2""}, ""message"": ""questionnaire message""}}]} ","{""gps"":[{""first_name"": ""Alice"", ""last_name"": ""Brown"", ""phone_number"": ""0412345678"", ""area_of_interests"": [""Adults""], ""unavailable_days"": []}, {""first_name"": ""John"", ""last_name"": ""Smith"", ""phone_number"": ""0453792604"", ""area_of_interests"": [""Adults"", ""Children""], ""unavailable_days"": []}, {""first_name"": ""Joanna"", ""last_name"": ""Black"", ""phone_number"": ""0455226834"", ""area_of_interests"": [""Adolescents""], ""unavailable_days"": []}]}"
2,Monash Care,"22 Mountain St, South Melbourne, VIC 3205",9:00am,5:00pm,"0407312934",None,"{""appointments"": [{""new_patient"": false, ""appointment_reason"": {""reason"": ""Telehealth (Video / Phone consult)"", ""duration"": 15}, ""date_time"": ""2021-10-10T12:30:00"", ""gp"":{""first_name"": ""Mara"", ""last_name"": ""Aldridge"", ""phone_number"": ""0425151407"", ""area_of_interests"": [""Adolescents"", ""Children""], ""unavailable_days"": []}, ""patient"": {""email_address"": ""patient@monash.edu"", ""password"": ""Monash1234"",""first_name"": ""Alan"", ""last_name"": ""Turing"", ""phone_number"": ""0412345678"", ""date_of_birth"": ""2000-11-10T00:00:00"", ""gender"": ""male"", ""list_of_favourites"": {""list_of_favourites"":[]}}, ""questionnaire"": {""dictionary_of_questions"": {""question 1"": ""answer 1"", ""question 2"": ""answer 2""}, ""message"": ""questionnaire message""}}, {""new_patient"": false, ""appointment_reason"": {""reason"": ""Telehealth (Video / Phone consult)"", ""duration"": 15}, ""date_time"": ""2021-10-10T13:30:00"", ""gp"":{""first_name"": ""Mara"", ""last_name"": ""Aldridge"", ""phone_number"": ""0425151407"", ""area_of_interests"": [""Adolescents"", ""Children""], ""unavailable_days"": []}, ""patient"": {""email_address"": ""patient@monash.edu"", ""password"": ""Monash1234"",""first_name"": ""Alan"", ""last_name"": ""Turing"", ""phone_number"": ""0412345678"", ""date_of_birth"": ""2000-11-10T00:00:00"", ""gender"": ""male"", ""list_of_favourites"": {""list_of_favourites"":[]}}, ""questionnaire"": {""dictionary_of_questions"": {""question 1"": ""answer 1"", ""question 2"": ""answer 2""}, ""message"": ""questionnaire message""}}, {""new_patient"": false, ""appointment_reason"": {""reason"": ""Telehealth (Video / Phone consult)"", ""duration"": 15}, ""date_time"": ""2021-11-10T09:30:00"", ""gp"":{""first_name"": ""Theodora"", ""last_name"": ""Riden"", ""phone_number"": ""0477528947"", ""area_of_interests"": [""Adults""], ""unavailable_days"": []}, ""patient"": {""email_address"": ""patient@monash.edu"", ""password"": ""Monash1234"",""first_name"": ""Alan"", ""last_name"": ""Turing"", ""phone_number"": ""0412345678"", ""date_of_birth"": ""2000-11-10T00:00:00"", ""gender"": ""male"", ""list_of_favourites"": {""list_of_favourites"":[]}}, ""questionnaire"": {""dictionary_of_questions"": {""question 1"": ""answer 1"", ""question 2"": ""answer 2""}, ""message"": ""questionnaire message""}}]}","{""gps"": [{""first_name"": ""Theodora"", ""last_name"": ""Riden"", ""phone_number"": ""0477528947"", ""area_of_interests"": [""Adults""], ""unavailable_days"": []}, {""first_name"": ""Donavon"", ""last_name"": ""Boniface"", ""phone_number"": ""0487251531"", ""area_of_interests"": [""Children""], ""unavailable_days"": []}, {""first_name"": ""Mason"", ""last_name"": ""Tenwick"", ""phone_number"": ""0469677040"", ""area_of_interests"": [""Adolescents"", ""Children""], ""unavailable_days"": []}, {""first_name"": ""Mara"", ""last_name"": ""Aldridge"", ""phone_number"": ""0425151407"", ""area_of_interests"": [""Adolescents"", ""Children""], ""unavailable_days"": []}]}"
3,Monash Health,"35 Victoria St, Melbourne, VIC 3000",9:00am,5:00pm,"0458921931",None,"{""appointments"": [{""new_patient"": true, ""appointment_reason"": {""reason"": ""Long consultation face to face "", ""duration"": 30}, ""date_time"": ""2021-11-09T12:30:00"", ""gp"": {""first_name"": ""Borg"", ""last_name"": ""Murley"", ""phone_number"": ""0467739687"", ""area_of_interests"": [""Adults""], ""unavailable_days"": []}, ""patient"": {""email_address"": ""patient@monash.edu"", ""password"": ""Monash1234"",""first_name"": ""Alan"", ""last_name"": ""Turing"", ""phone_number"": ""0412345678"", ""date_of_birth"": ""2000-11-10T00:00:00"", ""gender"": ""male"", ""list_of_favourites"": {""list_of_favourites"":[]}}, ""questionnaire"": {""dictionary_of_questions"": {""question 1"": ""answer 1"", ""question 2"": ""answer 2""}, ""message"": ""questionnaire message""}}]}","{""gps"": [{""first_name"": ""Borg"", ""last_name"": ""Murley"", ""phone_number"": ""0467739687"", ""area_of_interests"": [""Adults""], ""unavailable_days"": []}, {""first_name"": ""Alicea"", ""last_name"": ""Wallbanks"", ""phone_number"": ""0456294673"", ""area_of_interests"": [""Children""], ""unavailable_days"": []}, {""first_name"": ""Urbain"", ""last_name"": ""Pauli"", ""phone_number"": ""0482861205"", ""area_of_interests"": [""Adolescents"", ""Children""], ""unavailable_days"": []}, {""first_name"": ""Gib"", ""last_name"": ""Struys"", ""phone_number"": ""0433712627"", ""area_of_interests"": [""Adolescents"", ""Children""], ""unavailable_days"": []}]}"
4,Monash Love,"518 Victoria Pde, East Melbourne, VIC 3002",9:00am,5:00pm,"043928212",None,"{""appointments"": []}","{""gps"": [{""first_name"": ""Tom"", ""last_name"": ""Sawyer"", ""phone_number"": ""0433742627"", ""area_of_interests"": [""Adolescents""], ""unavailable_days"": []}]}"
